"456416040,2025-03-08T19:25:10Z,1403/12/18 22:55,ALi,fx.asadi,quote,تنها بازاری که با زور و دستور کنترل میشه خودتون میدونید کجاست. \nتا حالا از خودتون پرسیدید چرا سامانه برای دلار درست شد؟"
"456416036,2025-03-08T19:24:35Z,1403/12/18 22:54,لعنت به بورس,monzawi1350,twit,#وبملت \nیه حسی میگه الان  هر چی پول داریم بیاریم تو بورس"
"456416029,2025-03-08T19:24:07Z,1403/12/18 22:54,یزدان ابراهیمی,yazdanebrahimi,twit,#وشمال \n\n//"
"456416025,2025-03-08T19:23:35Z,1403/12/18 22:53,Ali,yonesisharif,twit,#برکت با مسئولیت خودتان بهترین ناحیه برای خریده پایان موج پنجم اصلاحی \nمحدوده ۲۸۰ تا ۳۲۰ بهترین نقاط وروده \nبه دید حداقل یکسال الی دو سال\nبازدهی ۳۰۰ الی ۴۰۰ درصدی داره\nخیالتون راحت باشه اگر دارید به حرف افراد منفی باف گوش ندین\nفکر کنید خودرو ثبت نام کردین تحویلش یکسال دیگه ست"
"456416018,2025-03-08T19:23:16Z,1403/12/18 22:53,یلدا66,kheiri84095,twit,#وآیند https://www.akhbarbank.com/news/98282/%D8%A8%D8%A7%D9%86%DA%A9-%D9%85%D8%B1%DA%A9%D8%B2%DB%8C-%D9%BE%D8%B1%D8%AF%D8%A7%D8%AE%D8%AA-%D9%BE%D8%A7%D8%AF%D8%A7%D8%B4-%D9%85%D8%AF%DB%8C%D8%B1%D8%A7%D9%86-%D8%A2%DB%8C%D9%86%D8%AF%D9%87-%D9%85%D9%85%D9%86%D9%88%D8%B9\n\nاینم لینک مستقیم خبر که هیچ پاداشی تعلق نمیگیره"
"456416003,2025-03-08T19:22:08Z,1403/12/18 22:52,یزدان ابراهیمی,yazdanebrahimi,twit,#فسبزوار \n\n// از افزایش سرمایه برگشته...\n* P/E عالی\n* اگه اینجا کف باشه که خیلی عالی میشه!!!"
"456415977,2025-03-08T19:20:43Z,1403/12/18 22:50,مسعود,m01603,twit,#شلرد افزایش سرمایه توسط حسابرس تایید شد"
"456383084,2025-03-07T16:11:45Z,1403/12/17 19:41,سعید,shasanlo1365,retwit,سلام وقت بخیر\nدوستان ساکن استان زنجان و فعال در بورس ایران (در گذشته و حال) پرسشنامه زیر مربوط به پایان‌نامه بنده است.\nممنون میشم 5 دقیقه از وقت پر ارزش خودتون رو برای تکمیل اون و کمک به بنده اختصاص بدید.\nhttps://form.avalform.com/view.php?id=67816196\nدوست عزیزی که گزارش این پیام رو برای حذف به پشتیبان میدی! کمک نمی‌کنی و دستی نمیگیری اشکال نداره ولی حداقل دیگه پایین پرت نکن مارو، دمت گرم\nپشتیبان عزیز سهام یاب چرا فحش و ناسزاگویی در اکثر توئیت‌ها مربوط به بازار سرمایه است؟ ولی انجام یک کار پژوهشی در راستای سواد مالی سهام داران رو نامربوط به بازار اقتصاد و سرمایه تلقی می‌کنید و تهدید به مسدودی حساب می‌کنید؟\nپیشاپیش سپاسگزار لطفتون هستم.\nحسنلو\n#فولاد"
"456415955,2025-03-08T19:19:19Z,1403/12/18 22:49,arastoo,masteraccount,quote,#شاخص_بورس با این ریزش شدید قیمتها ، یعنی باید قیمتها ، حداقل 7 تا 8 برابر شوند ...🌺"
"456415949,2025-03-08T19:19:10Z,1403/12/18 22:49,bager,bager1363,twit,#ختراک سلام.عرض ادب به هم سهامی عزیزهیشکی نمیتونه دقیق 100درصدبگه چی میشه من براشما یک راهنمایی میکنم که شایدبزرگترین تحلیل گربورس نتونه این سهم مثل من بشناسه چون ازسال 1399زیرنظردارمش دوسال هم هست باسهمم متاسفانه بازاربورس کلا شده قمارخانه ....... .ولی بهاراکثرا سهمها مثبت میشه ولی اگه زیادپول لازمی چون این سهم میره افزایش سرمایه اگه زیادتوضرر نیستی خارج شو به نفعته چون من قبلا باهاش رفتم مجمع سال پیش خونموخراب کرد الانم توضررم  مثال واس من پارسال تو1200تا20000تومن خریدم رفت افزایش سرمایه داد سهم تو300بازکرد حق تقدم هم ریختم بازسربه سرمن شد660تومن زنگ زدم شرکت گفتم آقاانگارخونه منوتوبهترین نقطه تهران فروختین دادین توحصارک کرج مثلا 5تازمین چراخیانت کردین گفتن آقاخونت یکی بود5تازمین دادن بهت آخه به چ درد میخوره شماهزاردرصدافزایش سرمایه بدی بیاری سهم تومنفی 200هزاربازکنی خلاصه اینای کاری میکنن ینی تا الان کردن تواین سهم ازجیب سهام دار زدن یکی من حالا باز خودتون تصمیم نهایی بگیرشایدم نماینده شرکت یاحقوقی سهم پیام من ناراضی ازسهموخوندورق سهموبرگردوند فقط نظر شخصی بازخوددانید"
